,id,eigenvector,indegree,path_in_ind,path_out_ind
0,1111031,0.0,2.0,2.8461537,1.6
1,1111032,0.31417176,3.0,2.5384614,2.4
2,1111034,0.13224195,3.0,2.647436,2.1818182
3,1111035,0.002533971,1.0,1.0,2.67595
4,1111036,0.115147024,2.0,2.6923077,3.6
5,1111038,0.29321653,4.0,2.1538463,2.2
6,1111040,0.27705988,1.0,3.6923077,1.5
7,1111041,0.0,7.0,1.9230769,2.7
8,1111042,0.06405373,1.0,4.0,3.0
9,1111045,0.0,5.0,2.1538463,3.3
10,1111049,0.08409189,2.0,4.3076925,2.4
11,1111050,0.0,4.0,2.2307692,1.8
12,1111053,0.014815784,3.0,2.647436,3.0
13,1111054,0.000913844,3.0,2.647436,4.4814816
14,1111055,0.31417176,4.0,2.2307692,3.3
15,1111123,0.00258744,1.0,0.0,3.7692308
16,1111124,0.000886193,3.0,0.0,2.3589745
17,1111125,0.001058738,2.0,0.0,3.6538463
18,1111126,0.001130807,3.0,0.0,0.0
19,1111127,0.003394308,3.0,0.0,3.4230769
20,1111128,0.01336169,4.0,0.0,3.5384614
21,1111130,0.001308407,1.0,0.0,0.0
22,1111131,0.000907781,1.0,0.0,4.076923
23,1111133,0.00248033,6.0,3.0769231,4.3076925
24,1111136,0.002119238,3.0,0.0,0.0
25,1111140,0.004283838,3.0,4.1538463,3.8846154
26,1111144,0.003804587,1.0,0.0,3.9230769
27,1111145,0.000580482,1.0,0.0,0.0
28,1111146,0.000998757,3.0,0.0,3.8076923
29,1111147,0.000635931,2.0,0.0,0.0
30,1111148,0.000478716,1.0,0.0,1.0
31,1111151,0.08234658,6.0,2.3636363,4.2647057
32,1111154,0.11139544,2.0,2.909091,3.4117646
33,1111155,0.15809292,7.0,2.090909,3.2941177
34,1111161,0.18993595,5.0,2.2727273,2.6764705
35,1111162,0.23205057,6.0,2.2727273,2.6470587
36,1111163,0.14449978,2.0,3.7878788,2.6764705
37,1111164,0.110873744,1.0,0.0,2.5
38,1111165,0.10140107,2.0,4.6363635,2.764706
39,1111166,0.06935298,2.0,0.0,2.8823528
40,1111169,0.14865443,4.0,2.4848485,3.5
41,1111170,0.08432169,1.0,3.2121212,3.3823528
42,1111171,0.16432148,3.0,3.1818182,2.9411764
43,1111174,0.22497472,7.0,2.2424242,3.0294118
44,1111175,0.1504698,4.0,2.3636363,3.2941177
45,1111176,0.25269455,8.0,2.030303,3.3529413
46,1111177,0.0,0.0,1.9090909,3.2058823
47,1111178,0.13241681,3.0,2.8181818,3.5294118
48,1111179,0.21218264,3.0,2.5757575,2.8529413
49,1111184,0.16439916,5.0,2.7272727,3.4117646
50,1111185,0.12531343,3.0,2.8484848,3.4117646
51,1111186,0.11672199,2.0,3.8181818,3.5
52,1111187,0.31015882,0.0,1.969697,2.8529413
53,1111190,0.024243789,2.0,3.4545455,0.0
54,1111191,0.06129312,3.0,3.6060605,3.0294118
55,1111194,0.12898862,3.2727273,2.7465565,2.6857142
56,1111196,0.2682867,7.0,2.2424242,2.9117646
57,1111197,0.1446807,2.0,2.6969697,2.6764705
58,1111201,0.058120172,2.0,3.939394,2.735294
59,1111202,0.07881833,1.0,3.6969697,3.9117646
60,1111203,0.110370316,1.0,3.6363637,2.7058823
61,1111205,0.22250657,5.0,2.7878788,2.4705882
62,1111207,0.1341703,3.0,3.2121212,2.6764705
63,1111208,0.038925026,3.0,3.6969697,3.8235295
64,1111209,0.09244936,3.0,3.1515152,2.5882354
65,1111211,0.010289712,2.0,3.5945945,3.7692308
66,1111212,0.02236964,3.0,4.5405407,3.8615384
67,1111214,0.02627466,1.0,3.5135136,3.6923077
68,1111218,0.017779639,3.0,3.5945945,3.2461538
69,1111221,0.047363114,1.0,3.108108,3.0
70,1111222,0.013854168,2.0,0.0,3.1384616
71,1111223,0.008542364,4.0,0.0,0.0
72,1111225,0.008245954,2.0,0.0,3.7692308
73,1111228,0.019102568,5.0,0.0,4.0923076
74,1111229,0.011044081,1.0,4.0,3.9846153
75,1111230,0.010905365,4.0,4.216216,0.0
76,1111232,0.020032056,3.0,0.0,4.0
77,1111235,0.023460874,3.0,3.1891892,3.3846154
78,1111238,0.006707333,1.0,4.027027,4.415385
79,1111240,0.02621195,5.0,3.5945945,4.0615387
80,1111241,0.02853511,3.0,3.4324324,4.076923
81,1111242,0.008710449,3.0,4.081081,4.3846154
82,1111243,0.007236264,4.0,3.5135136,4.1846156
83,1111244,0.00927851,4.0,4.135135,4.0923076
84,1111245,0.018283868,1.0,4.243243,3.523077
85,1111246,0.03096798,4.0,3.837838,3.6923077
86,1111249,0.021781063,2.0,3.7567568,3.523077
87,1111250,0.027964698,3.0,3.3513513,3.6
88,1111251,0.019067599,3.0,3.5945945,3.4461539
89,1111252,0.055768955,7.0,0.0,3.4461539
90,1111253,0.031770412,3.0,3.0270271,3.646154
91,1111254,0.009295477,3.0,3.7567568,0.0
92,1111255,0.028298883,3.0294118,4.081081,3.8507462
93,1111258,0.01093584,3.0,0.0,3.8
94,1111259,0.001336705,3.0294118,4.783784,0.0
95,1111260,0.040249046,5.0,4.0,3.3076923
96,1111261,0.015860355,2.0,3.162162,3.523077
97,1111262,0.022336187,3.0,3.7837837,3.8307693
98,1111263,0.14140932,6.0,3.9729729,3.1714287
99,1111265,0.083617106,3.0,3.580645,0.0
100,1111268,0.046715327,3.0294118,3.2580645,3.4848485
101,1111269,0.12715614,3.0294118,3.451613,3.0857143
102,1111270,0.08122719,1.0,3.1290324,3.8285713
103,1111311,0.16115868,2.0,3.074074,2.3333333
104,1111313,0.22873384,0.0,2.0370371,2.5
105,1111314,0.18398649,3.2380953,2.6128747,2.4736843
