,id,address,region,village,takeup_survey,age,agpop,educ,rice_inc,ricearea_2010,disaster_loss,insurance_repay,insurance_buy,disaster_prob,general_trust,male,default,delay,intensive,info_takeup_rate,info_takeup_list,info_none,understanding,day,risk_averse,literacy,educ_good,reveal,disaster_yes
0,1111030,fusheng21,1,fusheng,1,76.0,5.0,1.0,40.0,5.0,,0,0,50.0,1,1.0,1,1.0,0.0,1.0,0.0,0.0,0.8,3.0,0.0,1.0,0.0,,
1,1111031,fusheng21,1,fusheng,0,54.0,4.0,0.0,100.0,10.0,10.0,1,0,20.0,0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,,1.0
2,1111032,fusheng21,1,fusheng,1,67.0,2.0,2.0,60.0,10.0,,0,0,30.0,1,1.0,1,1.0,1.0,0.0,0.0,1.0,0.8,3.0,0.0,1.0,1.0,,
3,1111034,fusheng21,1,fusheng,1,74.0,2.0,1.0,30.0,0.74,90.0,0,0,50.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,,1.0,0.39999998,1.0,0.0,0.0,1.0
4,1111035,fusheng21,1,fusheng,1,60.0,6.0,1.0,50.0,11.0,25.0,1,0,20.0,0,1.0,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.39999998,1.0,0.0,0.0,1.0
5,1111036,fusheng21,1,fusheng,0,56.0,6.0,1.0,90.0,13.0,,1,0,40.0,0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.2,3.0,0.0,1.0,0.0,0.0,0.0
6,1111038,fusheng21,1,fusheng,1,61.0,13.0,1.0,30.0,4.0,,0,0,50.0,0,1.0,1,1.0,1.0,0.0,0.0,1.0,0.8,3.0,0.0,1.0,0.0,,0.0
7,1111040,fusheng21,1,fusheng,1,40.0,4.0,2.0,100.0,30.0,,1,0,20.0,0,1.0,1,1.0,1.0,0.0,1.0,0.0,0.6,3.0,0.19999999,1.0,1.0,,1.0
8,1111041,fusheng21,1,fusheng,0,63.0,3.0,1.0,70.0,2.0,,0,0,30.0,1,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,,0.0
9,1111042,fusheng21,1,fusheng,1,57.0,9.0,2.0,,1.0,,1,1,10.0,1,1.0,1,0.0,0.0,0.0,0.0,1.0,,1.0,0.6,1.0,1.0,1.0,0.0
10,1111045,fusheng21,1,fusheng,1,45.0,4.0,2.0,70.0,15.0,,0,0,50.0,1,1.0,1,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.2,1.0,1.0,,
11,1111046,fusheng21,1,fusheng,0,81.0,9.0,0.0,10.0,1.0,,1,1,40.0,1,0.0,1,0.0,1.0,0.0,0.0,1.0,0.8,1.0,0.6,0.0,0.0,,
12,1111049,fusheng21,1,fusheng,1,74.0,2.0,0.0,70.0,4.27,,0,1,50.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
13,1111050,fusheng21,1,fusheng,1,41.0,4.0,3.0,60.0,25.0,,1,1,20.0,0,1.0,1,1.0,1.0,1.0,0.0,0.0,0.4,3.0,0.39999998,1.0,1.0,,1.0
14,1111053,fusheng21,1,fusheng,0,71.0,14.0,0.0,20.0,2.3,,0,0,30.0,0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.19999999,0.0,0.0,0.0,1.0
15,1111054,fusheng21,1,fusheng,1,70.0,7.0,1.0,40.0,3.8,,1,0,20.0,0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.8,1.0,0.0,1.0,0.0,,
16,1111055,fusheng21,1,fusheng,1,76.0,4.0,1.0,40.0,5.0,,0,0,50.0,1,1.0,1,1.0,1.0,0.0,0.0,1.0,0.8,3.0,0.2,1.0,0.0,,
17,1111123,fusheng23,1,fusheng,1,61.0,5.0,0.0,60.0,5.49,,1,0,60.0,1,1.0,1,0.0,1.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0
